SMILES,SELFIES,COLUMN DENSITY,STD,anchor,distance,gpr_column,uncertainty
C=C=[C+]C#N,[C][=C][=C+1][C][#N],12.450052463518889,1.3658860483491182,CC#CC#CC#C,0.0076211393,[12.45005246],[1.36588605]
C/C=C/CCN,[C][/C][=C][/C][C][N],11.681079857242487,1.421571003462856,CC#CC#CC#C,0.022843061,[11.68107986],[1.421571]
NCC(=O)[O-],[N][C][C][=Branch1][C][=O][O-1],11.729558153933825,1.4299564910428129,CC#CC#CC#C,0.03541287,[11.72955815],[1.42995649]
CC1(C)C=C1,[C][C][Branch1][C][C][C][=C][Ring1][Ring2],11.933140831540651,1.4283603965660974,CC#CC#CC#C,0.03729222,[11.93314083],[1.4283604]
C=CCCc1ccccc1,[C][=C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],11.989262427317096,1.4418130982594024,CC#CC#CC#C,0.037430905,[11.98926243],[1.4418131]
N#C[SiH3],[N][#C][SiH3],12.371071287896475,1.346107125257883,CC#CC#CC#C,0.037610102,[12.37107129],[1.34610713]
CC=CCO,[C][C][=C][C][O],11.809537051787077,1.3766007875282156,CC#CC#CC#C,0.037751857,[11.80953705],[1.37660079]
N#Cc1ccc2ccccc2c1N,[N][#C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][N],12.023631297377287,1.4727204226268342,CC#CC#CC#C,0.038301215,[12.0236313],[1.47272042]
Nc1cccs1,[N][C][=C][C][=C][S][Ring1][Branch1],11.869699695367132,1.4167297515408523,CC#CC#CC#C,0.03914693,[11.8696997],[1.41672975]
CC1=CCc2ccccc21,[C][C][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2],12.072527868515836,1.4484554070258706,CC#CC#CC#C,0.039959356,[12.07252787],[1.44845541]
CCC(=N)O,[C][C][C][=Branch1][C][=N][O],11.924985018782401,1.43532542789419,CC#CC#CC#C,0.040934913,[11.92498502],[1.43532543]
N#CC1=CCOC1=O,[N][#C][C][=C][C][O][C][Ring1][Branch1][=O],11.813926177542548,1.421752608484409,CC#CC#CC#C,0.042023774,[11.81392618],[1.42175261]
[CH3-],[CH3-1],13.060013705838756,1.3053309686416819,CC#CC#CC#C,0.042110454,[13.06001371],[1.30533097]
C[C@@H]1N=CCS1,[C][C@@H1][N][=C][C][S][Ring1][Branch1],11.921389322378358,1.4112979338474543,CC#CC#CC#C,0.04213702,[11.92138932],[1.41129793]
CC=COC,[C][C][=C][O][C],11.819083996686793,1.3817641300491643,CC#CC#CC#C,0.042223502,[11.819084],[1.38176413]
Cc1ccc2c(c1C)C=CC2,[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][C][C][=C][C][Ring1][#Branch1],12.135000213403327,1.447617849303925,CC#CC#CC#C,0.04275846,[12.13500021],[1.44761785]
O=C1C=CCN1Cc1ccccc1,[O][=C][C][=C][C][N][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],12.062447216123175,1.470781018880828,CC#CC#CC#C,0.04297528,[12.06244722],[1.47078102]
c1ccc2c(c1)NCCN2,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][C][N][Ring1][#Branch1],12.109157530735061,1.4421971038931087,CC#CC#CC#C,0.044906083,[12.10915753],[1.4421971]
N#CC#CCC#CC#N,[N][#C][C][#C][C][C][#C][C][#N],12.12136337640975,1.3859544983941245,CC#CC#CC#C,0.045810763,[12.12136338],[1.3859545]
C=N,[C][=N],12.88214787026007,1.317254481991769,CC#CC#CC#C,0.047130253,[12.88214787],[1.31725448]
Nc1cccc2c1CC=C2,[N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Ring1][Branch1],12.06063196081831,1.4386562049737042,CC#CC#CC#C,0.04739656,[12.06063196],[1.4386562]
C#C/C=C/CO,[C][#C][/C][=C][/C][O],11.705795389679633,1.3885930663408137,CC#CC#CC#C,0.047398936,[11.70579539],[1.38859307]
C#Cc1cccs1,[C][#C][C][=C][C][=C][S][Ring1][Branch1],11.960230132288178,1.41802551380736,CC#CC#CC#C,0.048851524,[11.96023013],[1.41802551]
NC(=S)S,[N][C][=Branch1][C][=S][S],11.821802904188187,1.4200005385047325,CC#CC#CC#C,0.04957789,[11.8218029],[1.42000054]
N#Cc1cccs1,[N][#C][C][=C][C][=C][S][Ring1][Branch1],11.904775701901041,1.4215312238291895,CC#CC#CC#C,0.049687438,[11.9047757],[1.42153122]
[CH+]=N,[CH1+1][=N],12.815205621358754,1.3497705242408802,CC#CC#CC#C,0.04991431,[12.81520562],[1.34977052]
O=S=S,[O][=S][=S],12.277492812868244,1.3825042135404357,CC#CC#CC#C,0.04999446,[12.27749281],[1.38250421]
CCOC=N,[C][C][O][C][=N],11.949889332777337,1.3873284950837816,CC#CC#CC#C,0.051125508,[11.94988933],[1.3873285]
O=N[OH2+],[O][=N][OH2+1],12.626207054535017,1.3659640542475686,CC#CC#CC#C,0.05218564,[12.62620705],[1.36596405]
[CH2],[CH2],13.014432950733596,1.3243486597691025,CC#CC#CC#C,0.05231624,[13.01443295],[1.32434866]
C/C(O)=C/CN,[C][/C][Branch1][C][O][=C][/C][N],11.735976903536764,1.4353043482008851,CC#CC#CC#C,0.05257153,[11.7359769],[1.43530435]
C#CC1=CCOC1=O,[C][#C][C][=C][C][O][C][Ring1][Branch1][=O],11.905973872335519,1.4212300096517922,CC#CC#CC#C,0.052694727,[11.90597387],[1.42123001]
C=C(C)CC,[C][=C][Branch1][C][C][C][C],11.882262227412099,1.4284998862726732,CC#CC#CC#C,0.05454409,[11.88226223],[1.42849989]
[C]=N,[CH0][=N],12.945979109568208,1.3479307243377427,CC#CC#CC#C,0.054878794,[12.94597911],[1.34793072]
C1=CCC1,[C][=C][C][C][Ring1][Ring2],11.927700385885709,1.3833189568247146,CC#CC#CC#C,0.055089314,[11.92770039],[1.38331896]
NC#[O+],[N][C][#O+1],10.642852858348876,1.0599778760404497,CC#CC#CC#C,0.05512474,[10.64285286],[1.05997788]
c1ccc2c(c1)CNC2,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][N][C][Ring1][=Branch1],12.189088401406774,1.4265242506549625,CC#CC#CC#C,0.055156775,[12.1890884],[1.42652425]
OCCP,[O][C][C][P],11.93369948440971,1.3675656180813638,CC#CC#CC#C,0.055228684,[11.93369948],[1.36756562]
C#CC#CC#CCC#C,[C][#C][C][#C][C][#C][C][C][#C],12.112703495550742,1.372131237188526,CC#CC#CC#C,0.055264175,[12.1127035],[1.37213124]
