list_place,A,B,C,mu_a-ea0,mu_b-ea0,mu_cea0,e,e_tot,zpe,harm_freq,formula,iupac_name,canonical_smi,internal_smi,weight,charge,name,multiplicity,distance,log_column,log_column_unc,mu_a,mu_b,mu_c
374,15700.28129,396.62726,387.82381,0.0024349,0.0883149,0.4668821,-348.746679972158,,,[],C9H10,"nona-1,5,7-trien-3-yne",CC=CC=CC#CC=C,C=CC#CC=CC=CC,118.18,0,geom375,1,0.050628927,12.00370254013670,1.035434724571400,0.0061888984357313100,0.2244740837249030,1.186695921130620
1255,6981.18714,1362.33683,1166.48529,-6.15E-05,-0.1233917,0.0513186,-271.350750595399,,,[],C7H8,,CC(=C=C)C=C=C,C=C=CC(C)=C=C,92.14,0,geom1256,1,0.07752488,11.902587486227200,1.0390538153163700,-0.00015631740679185000,-0.31363041566890900,0.13043886946647500
1415,21250.26109,1309.63243,1253.84562,-7.72E-05,-0.0104955,-0.1932044,-233.298871108755,,,[],C6H8,,CC=CC=C=C,C=C=CC=CC,80.13,0,geom1416,1,0.0749692,12.087107221574700,1.0450079587561200,-0.00019622282608668,-0.02667689988591650,-0.4910765981914680
123,4137.74257,4137.38621,2068.78219,7.64E-05,-1.84E-05,0.0,-232.029327100227,,,[],C6H6,"1,2,3-trimethylidenecyclopropane",C=C1C(=C)C1=C,C=C1C(=C)C1=C,78.11,0,geom124,1,0.053075783,12.066902526558100,1.046846324650090,0.00019418942892516,-4.676813471496E-05,0.0
470,17518.46182,582.26536,563.54197,0.0010478,-0.021465,-0.0885606,-309.437890040044,,,[],C8H8,"octa-1,3,7-trien-5-yne",C=CC=CC#CC=C,C=CC#CC=CC=C,104.15,0,geom471,1,0.08473353,12.1500605772385,1.0471351212168900,0.00266324193230082,-0.0545585875900335,-0.22509859082813500
371,2458.25808,2431.64907,1398.54909,-0.0557196,0.0008259,-0.0002608,-272.601622704708,,,[],C7H10,"3-ethenylpenta-1,4-diene",C=CC(C=C)C=C,C=CC(C=C)C=C,94.15,0,geom372,1,0.049424965,12.370320091980000,1.0497231315205100,-0.14162509560128700,0.00209922839462421,-0.00066288747465552
1606,14233.98253,861.37358,816.7616,-0.010082,-0.1433764,0.3132576,-271.367445435655,,,[],C7H8,"hepta-1,5-dien-3-yne",CC=CC#CC=C,C=CC#CC=CC,92.14,0,geom1608,1,0.10205195,12.136693282619300,1.0507040852778700,-0.0256258877280558,-0.3644264559861950,0.7962213933307100
523,25529.37545,1384.651,1373.79509,0.1914268,-0.4767922,-1.1235193,-285.290109735499,,,[],C4H5NO,3-isocyanatoprop-1-ene,C=CCN=C=O,C=CCN=C=O,83.09,0,geom524,1,0.061265413,11.920396870671400,1.0546328362598400,0.4865583896985710,-1.211884882643600,-2.855701194416170
1428,3825.01036,1983.81604,1355.88084,-0.0011586,0.0217045,-0.2735462,-272.615286259861,,,[],C7H10,"3-ethenylpenta-1,3-diene",CC=C(C=C)C=C,C=CC(C=C)=CC,94.15,0,geom1429,1,0.07719355,12.129979471884400,1.0558968965477100,-0.0029448674391713400,0.05516733586526360,-0.6952850832807280
531,16378.13393,1364.06989,1332.6781,-0.0053271,0.0582212,-0.2825212,-233.29765448471,,,[],C6H8,,CC=C=CC=C,C=CC=C=CC,80.13,0,geom532,1,0.063340835,12.080140331090800,1.0589175089795800,-0.01354013752391650,0.14798352852536000,-0.7180972576865300
1905,14159.93714,1335.78909,1304.99126,0.0250569,0.0437633,0.180435,-234.543465664469,,,[],C6H10,"hexa-1,4-diene",CC=CCC=C,C=CCC=CC,82.14,0,geom1907,1,0.057024084,12.092691239461000,1.0590238865677800,0.0636882866706131,0.11123521249843500,0.4586200210485770
